artist,date,rank
Led Zeppelin,2014-02-01,63
Becky G,2014-02-01,64
Usher,2014-02-01,65
Lee Brice,2014-02-01,66
Justin Bieber,2014-02-01,67
Hillsong Worship,2014-02-01,68
Jason Aldean,2014-02-01,69
Old Crow Medicine Show,2014-02-01,70
Joe Nichols,2014-02-01,71
Arctic Monkeys,2014-02-01,72
Rihanna,2014-02-01,73
YG,2014-02-01,74
American Authors,2014-02-01,75
Lil Jon,2014-02-01,76
Rixton,2014-02-01,77
Jhene Aiko,2014-02-01,78
Jack White,2014-02-01,79
Tiesto,2014-02-01,80
DJ Snake,2014-02-01,81
Taylor Swift,2014-02-01,82
Ellie Goulding,2014-02-01,83
Chris Young,2014-02-01,84
Kid Ink,2014-02-01,85
Zedd,2014-02-01,86
P!nk,2014-02-01,87
The Black Keys,2014-02-01,88
Carrie Underwood,2014-02-01,89
Phillip Phillips,2014-02-01,90
JAY-Z,2014-02-01,91
Idina Menzel,2014-02-01,92
Tyler Farr,2014-02-01,93
Cole Swindell,2014-02-01,94
Adele,2014-02-01,95
Justin Moore,2014-02-01,96
Tim McGraw,2014-02-01,97
Ingrid Michaelson,2014-02-01,98
Christina Perri,2014-02-01,99
Passenger,2014-02-01,100
Trey Songz,2014-01-25,1
Sam Smith,2014-01-25,2
Iggy Azalea,2014-01-25,3
MAGIC!,2014-01-25,4
Ed Sheeran,2014-01-25,5
Ariana Grande,2014-01-25,6
Katy Perry,2014-01-25,7
5 Seconds Of Summer,2014-01-25,8
Jason Derulo,2014-01-25,9
Luke Bryan,2014-01-25,10
Pharrell Williams,2014-01-25,11
Nico &amp; Vinz,2014-01-25,12
OneRepublic,2014-01-25,13
Maroon 5,2014-01-25,14
Charli XCX,2014-01-25,15
Lana Del Rey,2014-01-25,16
John Legend,2014-01-25,17
Miranda Lambert,2014-01-25,18
Calvin Harris,2014-01-25,19
Eminem,2014-01-25,20
Justin Timberlake,2014-01-25,21
Imagine Dragons,2014-01-25,22
Florida Georgia Line,2014-01-25,23
Lorde,2014-01-25,24
Miley Cyrus,2014-01-25,25
Beyonce,2014-01-25,26
Coldplay,2014-01-25,27
Brantley Gilbert,2014-01-25,28
Bruno Mars,2014-01-25,29
Seether,2014-01-25,30
Robin Thicke,2014-01-25,31
Michael Jackson,2014-01-25,32
Drake,2014-01-25,33
One Direction,2014-01-25,34
Paramore,2014-01-25,35
Blake Shelton,2014-01-25,36
Chris Brown,2014-01-25,37
Sia,2014-01-25,38
Dierks Bentley,2014-01-25,39
Disclosure,2014-01-25,40
Jake Owen,2014-01-25,41
Nicki Minaj,2014-01-25,42
MKTO,2014-01-25,43
Demi Lovato,2014-01-25,44
Bastille,2014-01-25,45
Lady Antebellum,2014-01-25,46
Kenny Chesney,2014-01-25,47
Pitbull,2014-01-25,48
Linkin Park,2014-01-25,49
Avicii,2014-01-25,50
Shakira,2014-01-25,51
ScHoolboy Q,2014-01-25,52
Colt Ford,2014-01-25,53
